city_name_eng,hate_crime_log,logvk,logspbsu2,logspbsu1,logspbsu3,logpop,disttopiter,disttomoscow,logwage11,wage,University_exists,lognet11b,fract11b,ldpr_03,protesters_log
Saransk,0,11.8301343917847,1.3862943649292,0.6931471824646,1.0986123085022,5.74875593185425,1100,513.099975585938,9.66630840301514,11055,1,11.9639177322388,0.219080597162247,0.0729764699935913,0
Kovylkino,0,8.55775928497315,0.6931471824646,0,0,3.18221187591553,1051,445.600006103516,9.40054702758789,11055,0,11.1597909927368,0.137234777212143,0.0186420604586601,0
Ruzaevka,0,9.54215908050537,0,0,0.6931471824646,3.97593641281128,1097,504.5,9.71129703521729,11055,0,11.1089563369751,0.330289483070374,0.057501956820488,0
Vladikavkaz,0,11.2574396133423,2.30258512496948,2.39789533615112,1.60943794250488,5.74652242660523,2119,1504,9.65310096740723,13228,1,11.4882392883301,0.32724991440773,0.0637481063604355,0
Cherkessk,0,9.6540641784668,0.6931471824646,0.6931471824646,0.6931471824646,4.81055688858032,1918,1320,9.66997814178467,10431,0,10.9742450714111,0.391491293907166,0.123005166649818,0
Kazan',6.62140560150147,13.7953538894653,1.94591009616852,1.60943794250488,1.60943794250488,7.00342893600464,1199,718.599975585938,9.99433326721191,18158,1,13.8748016357422,0.141081899404526,0.0703592747449875,6.62140560150147
Aznakaevo,0,9.60663032531738,0,0,0,3.64283561706543,1467,981,9.81142711639404,18158,0,11.2680702209473,0.307620286941528,0.0432552024722099,0
Al'met'evsk,0,11.2912683486938,0.6931471824646,0.6931471824646,0.6931471824646,4.95371198654175,1422,931.900024414062,10.0779867172241,18158,0,11.6768398284912,0.435157418251038,0.0845213979482651,0
Bavly,0,8.96392822265625,0,0,0,3.19458317756653,1504,1004,9.77104091644287,18158,0,11.2295742034912,0.185973629355431,0.0604097731411457,0
Bugul'ma,0,10.2761192321777,1.3862943649292,0,0,4.544358253479,1470,971.299987792969,9.86521434783936,18158,0,11.2545690536499,0.46919110417366,0.113369673490524,0
Jelabuga,0,10.2205219268799,0,0,0.6931471824646,4.22244453430176,1359,900.400024414063,9.8411865234375,18158,0,11.2314710617065,0.462934523820877,0.0790741518139839,0
Zainsk,0,9.43620014190674,0,0.6931471824646,0,3.78191423416138,1384,906.099975585938,9.74460887908936,18158,0,11.1773252487183,0.289154827594757,0.0519562102854252,0
Zelenodol'sk,0,10.3235130310059,0,0,0,4.61115217208862,1163,680.599975585938,9.5796947479248,18158,0,11.2853708267212,0.472234159708023,0.0911554172635078,0
Leninogorsk,0,10.0585231781006,0.6931471824646,0,0.6931471824646,4.23700094223022,1449,949.700012207031,9.92431926727295,18158,0,11.2942047119141,0.412326723337173,0.0796273574233055,0
Naberezhnye Chelny,5.52545309066773,12.3025913238525,1.7917594909668,1.0986123085022,1.60943794250488,6.24319553375244,1379,919.900024414063,9.88302993774414,18158,0,12.3344898223877,0.0608190111815929,0.10399653762579,5.52545309066773
Nizhnekamsk,0,11.4822082519531,0,1.0986123085022,0.6931471824646,5.41787672042847,1354,888.5,10.0279588699341,18158,0,11.6964769363403,0.311341881752014,0.100522749125957,0
Nurlat,0,9.5941047668457,0,0,0,3.39450836181641,1370,850.200012207031,9.7733793258667,18158,0,11.3018922805786,0.296805024147034,0.0120674129575491,0
Chistopol',0,9.91269493103027,0,0,0,4.20767307281494,1305,818.5,9.58685684204102,18158,0,11.2658233642578,0.383279293775558,0.0890925973653793,0
Kyzyl,0,10.5128726959229,0,0,0.6931471824646,4.6376371383667,3940,3659,10.2134695053101,10050,1,11.3842163085938,0.486677199602127,0.0893639028072357,0
Izhevsk,6.21660614013672,12.5332088470459,2.30258512496948,1.60943794250488,1.94591009616852,6.47958421707153,1370,968,9.8804235458374,12423,1,12.6212730407715,0.154383704066277,0.144371405243874,6.21660614013672
Votkinsk,0,10.2017383575439,0,0,0.6931471824646,4.62888669967651,1405,1016,9.81613063812256,12423,0,11.1765356063843,0.469869822263718,0.167558953166008,0
Glazov,0,10.1753835678101,1.0986123085022,1.0986123085022,0.6931471824646,4.67749071121216,1287,947.299987792969,9.74975299835205,12423,0,11.121150970459,0.475078523159027,0.139824435114861,0
Mozhga,0,9.51628017425537,0.6931471824646,0.6931471824646,0.6931471824646,3.91202306747437,1334,907.099975585938,9.48782062530518,12423,0,11.1749963760376,0.308260649442673,0.156601518392563,0
Sarapul,0,10.229115486145,0,1.0986123085022,0.6931471824646,4.66155052185059,1421,1004,9.65014266967773,12423,0,11.150050163269,0.479248285293579,0.153540894389153,0
Abakan,4.61512041091919,11.2286643981934,1.60943794250488,0.6931471824646,0.6931471824646,5.13579845428467,3642,3374,10.1512842178345,12776,1,11.7057752609253,0.470925539731979,0.153334394097328,4.61512041091919
Sajanogorsk,0,9.65252304077148,0,1.0986123085022,0,4.02713584899902,3682,3403,10.196418762207,12776,0,11.288628578186,0.313616573810577,0.179291173815727,0
Chernogorsk,0,9.58685684204102,0,0,0,4.37449836730957,3629,3361,9.95527362823486,12776,0,11.2099533081055,0.316716492176056,0.171741515398026,0
Cheboksary,5.76100254058838,12.3641443252563,1.3862943649292,1.0986123085022,1.0986123085022,6.13491535186768,1079,600.900024414063,9.80835247039795,10885,1,12.4260540008545,0.112856961786747,0.0938431397080421,5.76100254058838
Alatyr',0,9.08851146697998,0,0,0,3.85439395904541,1123,575.900024414063,9.4360408782959,10885,0,11.1160573959351,0.228629618883133,0.0686995759606361,0
Kanash,0,9.794508934021,0.6931471824646,0,0,4.03069448471069,1129,620.400024414063,9.67432594299316,10885,0,11.1905212402344,0.372560292482376,0.0842767879366875,0
