date,doge_price,google_interest,google_interest_musk
2021-01-28T16:49:00Z,-0.321150077616062,-0.255544086158739,26554.747008218
2021-01-28T16:50:00Z,-0.300328387527262,-0.232917662515981,26592.7721873019
2021-01-28T16:51:00Z,-0.256700871588238,-0.202710806606464,26643.5367766889
2021-01-28T16:52:00Z,-0.25473184895574,-0.168143636137318,26701.6291587757
2021-01-28T16:53:00Z,-0.253788180761909,-0.178725688324551,26683.8453306353
2021-01-28T16:54:00Z,-0.236464033247028,-0.178252141403357,26684.6411570888
2021-01-28T16:55:00Z,-0.292257985666208,-0.167294132544156,26703.0568049107
2021-01-28T16:56:00Z,-0.29357577371977,-0.163337046202888,26709.7069463185
2021-01-28T16:57:00Z,-0.293663023991757,-0.158126469654269,26718.4636596869
2021-01-28T16:58:00Z,-0.312961356254067,-0.157733039097951,26719.1248453695
2021-01-28T16:59:00Z,-0.292764388183271,-0.160432226967305,26714.5886842981
2021-01-28T17:00:00Z,-0.232180353303938,-0.159921533996385,26715.4469371083
2021-01-28T17:01:00Z,-0.214715295640507,-0.164924228464845,26707.0395831195
2021-01-28T17:02:00Z,-0.233144699578814,-0.1622552125181,26711.5250383092
2021-01-28T17:03:00Z,-0.23407330235502,-0.166512424509514,26704.3705161926
2021-01-28T17:04:00Z,-0.214265058316004,-0.151558014337097,26729.5023767941
2021-01-28T17:05:00Z,-0.214266985583615,-0.157437306306475,26719.6218435931
2021-01-28T17:06:00Z,-0.21454791889001,-0.16910676445315,26700.0105588914
2021-01-28T17:07:00Z,-0.216156337378544,-0.184834641681759,26673.5788365092
2021-01-28T17:08:00Z,-0.216910088083331,-0.191644006775126,26662.1352548274
2021-01-28T17:09:00Z,-0.197602256817005,-0.193349862148259,26659.2684537333
2021-01-28T17:10:00Z,-0.198420344056795,-0.231169475165402,26595.7101300421
2021-01-28T17:11:00Z,-0.220808390817147,-0.244358019019267,26573.5459228383
2021-01-28T17:12:00Z,-0.22027549412585,-0.247146504234601,26568.8596917591
2021-01-28T17:13:00Z,-0.239221026093477,-0.225909417292355,26604.55
2021-01-28T17:14:00Z,-0.238278589240722,-0.206599882702916,26637.0009309285
2021-01-28T17:15:00Z,-0.236847004710706,-0.194017993512161,26658.1456154463
2021-01-28T17:16:00Z,-0.257857532176575,-0.226559169939749,26603.4580483435
2021-01-28T17:17:00Z,-0.298883299545061,-0.235084072944698,26589.1313934309
2021-01-28T17:18:00Z,-0.297619262886365,-0.223366987017145,26608.8227197214
2021-01-28T17:19:00Z,-0.297363495083319,-0.219400202097943,26615.4891602213
2021-01-28T17:20:00Z,-0.316264043613423,-0.22689894286601,26602.8870378041
2021-01-28T17:21:00Z,-0.33643881979897,-0.211732106414718,26628.3758946072
2021-01-28T17:22:00Z,-0.336039731012231,-0.215835425229709,26621.48
2021-01-28T17:23:00Z,-0.317216002073727,-0.215572351591875,26621.9221123881
2021-01-28T17:24:00Z,-0.317079224574461,-0.213877116146973,26624.7710660009
2021-01-28T17:25:00Z,-0.297885531919632,-0.25563691630676,26554.5910011062
2021-01-28T17:26:00Z,-0.279390634851533,-0.244023343124318,26574.1083674845
2021-01-28T17:27:00Z,-0.279139320404912,-0.237167714338932,26585.6296983149
2021-01-28T17:28:00Z,-0.240960592390593,-0.243485928810191,26575.0115272529
2021-01-28T17:29:00Z,-0.259957870460137,-0.239714297141935,26581.35
2021-01-28T17:30:00Z,-0.259319719572035,-0.235998568595553,26587.5945239086
2021-01-28T17:31:00Z,-0.239970864590095,-0.234321645332042,26590.4127027075
2021-01-28T17:32:00Z,-0.219360765765772,-0.221980413300141,26611.1529471906
2021-01-28T17:33:00Z,-0.218861729150487,-0.210914537980298,26629.7498716273
2021-01-28T17:34:00Z,-0.238449825796818,-0.206637168584593,26636.9382695751
2021-01-28T17:35:00Z,-0.257528905211665,-0.201843811324943,26644.9938187458
2021-01-28T17:36:00Z,-0.271794799849557,-0.168896184048267,26700.3644529815
2021-01-28T17:37:00Z,-0.272389337489315,-0.159650679640211,26715.9021255005
2021-01-28T17:38:00Z,-0.234642205794046,-0.193980130180454,26658.2092472421
2021-01-28T17:39:00Z,-0.257460030283436,-0.228765769696519,26599.7497136883
2021-01-28T17:40:00Z,-0.278947232435252,-0.232185217305759,26594.0031091978
2021-01-28T17:41:00Z,-0.260365918943525,-0.242859059146275,26576.0650225648
2021-01-28T17:42:00Z,-0.260363608153372,-0.247530385141336,26568.2145548848
2021-01-28T17:43:00Z,-0.26020513361429,-0.249225641554778,26565.365566033
2021-01-28T17:44:00Z,-0.239814087834385,-0.234293501649277,26590.46
2021-01-28T17:45:00Z,-0.257864260865606,-0.219826750400657,26614.7723180082
2021-01-28T17:46:00Z,-0.239585883647697,-0.228569187281938,26600.0800832437
2021-01-28T17:47:00Z,-0.239216740269927,-0.22858845605564,26600.0477008141
2021-01-28T17:48:00Z,-0.240792884172078,-0.23998256404698,26580.899159988
2021-01-28T17:49:00Z,-0.24060260166635,-0.239896240049219,26581.0442330904
2021-01-28T17:51:00Z,-0.260563635927575,-0.24197832498651,26577.5451537017
2021-01-28T17:52:00Z,-0.240082659215491,-0.233192074688461,26592.3110197676
2021-01-28T17:53:00Z,-0.219243725521479,-0.213794498881197,26624.9099096987
2021-01-28T17:54:00Z,-0.221194147845407,-0.244466163407782,26573.3641791476
2021-01-28T17:55:00Z,-0.23775388037376,-0.237382833913685,26585.2681758541
2021-01-28T17:56:00Z,-0.238007726374058,-0.209919574131376,26631.4219731991
